"","date","day_of_week","emotion"
"340",2022-12-06,"Tuesday","unhappy"
"341",2022-12-07,"Wednesday","anxious/stressed"
"342",2022-12-08,"Thursday","anxious/stressed"
"343",2022-12-09,"Friday","anxious/stressed"
"344",2022-12-10,"Saturday","anxious/stressed"
"345",2022-12-11,"Sunday","anxious/stressed"
"346",2022-12-12,"Monday","anxious/stressed"
"347",2022-12-13,"Tuesday","anxious/stressed"
"348",2022-12-14,"Wednesday","anxious/stressed"
"349",2022-12-15,"Thursday","anxious/stressed"
"350",2022-12-16,"Friday","unhappy"
"351",2022-12-17,"Saturday","anxious/stressed"
"352",2022-12-18,"Sunday","anxious/stressed"
"353",2022-12-19,"Monday","anxious/stressed"
"354",2022-12-20,"Tuesday","neutral"
"355",2022-12-21,"Wednesday","anxious/stressed"
"356",2022-12-22,"Thursday","anxious/stressed"
"357",2022-12-23,"Friday","unhappy"
"358",2022-12-24,"Saturday","anxious/stressed"
"359",2022-12-25,"Sunday","unhappy"
"360",2022-12-26,"Monday","unhappy"
"361",2022-12-27,"Tuesday","anxious/stressed"
"362",2022-12-28,"Wednesday","anxious/stressed"
"363",2022-12-29,"Thursday","anxious/stressed"
"364",2022-12-30,"Friday","anxious/stressed"
"365",2022-12-31,"Saturday","anxious/stressed"
